date range,SPY last of current block,SPY moving avg of next block
2016-12-05:2016-12-09,211.49876403808597,211.61251584945185
2016-12-12:2016-12-16,211.3646697998047,212.06122072281377
2016-12-19:2016-12-23,211.9939727783203,211.8224881079889
2016-12-26:2016-12-30,209.94644165039062,211.0159621700164
2017-01-02:2017-01-06,213.4028167724609,212.79810899303806
2017-01-09:2017-01-13,213.2525177001953,212.94379252772177
2017-01-16:2017-01-20,212.96136474609372,213.4512693343624
2017-01-23:2017-01-27,215.05587768554688,213.7933610485446
2017-01-30:2017-02-03,215.4033966064453,215.23765317855342
2017-02-06:2017-02-10,217.4414978027344,219.2993907313193
2017-02-13:2017-02-17,220.8039703369141,221.41931693784653
2017-02-20:2017-02-24,222.3537139892578,222.97965018979966
2017-02-27:2017-03-03,223.9316253662109,222.90118112871724
2017-03-06:2017-03-10,223.24594116210938,223.32446633615803
2017-03-13:2017-03-17,223.59458923339844,222.05090479696952
2017-03-20:2017-03-24,220.6042633056641,221.25242122527092
2017-03-27:2017-03-31,222.3777313232422,221.96325732815654
2017-04-03:2017-04-07,221.8683013916016,221.51443629111012
2017-04-10:2017-04-14,219.33079528808597,221.01355128134452
2017-04-17:2017-04-21,221.2928924560547,224.32703079715853
2017-04-24:2017-04-28,224.5850982666016,225.18452502835183
2017-05-01:2017-05-05,226.11325073242188,226.0097936814831
2017-05-08:2017-05-12,225.4340362548828,225.80499858240927
2017-05-15:2017-05-19,224.80203247070312,226.40811354114163
2017-05-22:2017-05-26,228.0093078613281,228.10060021185106
2017-05-29:2017-06-02,230.3298797607422,229.89960799678678
2017-06-05:2017-06-09,229.61297607421875,230.00164598034274
2017-06-12:2017-06-16,230.0028076171875,231.14672507009197
2017-06-19:2017-06-23,230.4672698974609,229.9997342017389
2017-06-26:2017-06-30,229.20654296875,229.5591145177041
2017-07-03:2017-07-07,229.5003967285156,230.1263166858304
2017-07-10:2017-07-14,232.7707061767578,233.08995056152344
2017-07-17:2017-07-21,234.02198791503903,234.21246682443928
2017-07-24:2017-07-28,234.05039978027344,234.16539247574346
2017-07-31:2017-08-04,234.52438354492188,234.36933012931578
2017-08-07:2017-08-11,231.4056854248047,233.41314500378024
2017-08-14:2017-08-18,230.06915283203125,231.19105136009955
2017-08-21:2017-08-25,231.8228302001953,232.35547564106602
2017-08-28:2017-09-01,234.93197631835938,234.28370764947707
2017-09-04:2017-09-08,233.7375946044922,236.644530265562
2017-09-11:2017-09-15,237.3839111328125,237.9631628221081
2017-09-18:2017-09-22,237.62208557128903,237.46873671008694
2017-09-25:2017-09-29,239.3272857666016,240.8084460842994
2017-10-02:2017-10-06,242.3184814453125,242.28777633174772
2017-10-09:2017-10-13,242.8710479736328,243.37866801600302
2017-10-16:2017-10-20,244.92868041992188,244.00494433987527
2017-10-23:2017-10-27,245.5002593994141,244.87889000677293
2017-10-30:2017-11-03,246.2052154541016,246.5088156423261
2017-11-06:2017-11-10,245.86224365234372,245.71443668488533
2017-11-13:2017-11-17,245.6431427001953,246.8102544969128
2017-11-20:2017-11-24,248.02468872070312,249.27848619030368
2017-11-27:2017-12-01,251.9304656982422,251.31925373692667
2017-12-04:2017-12-08,252.9307403564453,253.8705080093876
2017-12-11:2017-12-15,255.18109130859372,256.34054663873485
2017-12-18:2017-12-22,256.1385498046875,256.0381686302923
2017-12-25:2017-12-29,255.51617431640625,256.93017578125
2018-01-01:2018-01-05,261.7973022460937,262.71343305034026
2018-01-08:2018-01-12,266.10604858398443,266.23236674647177
2018-01-15:2018-01-19,268.4901733398437,271.0399022256174
2018-01-22:2018-01-26,274.39785766601557,271.03711626606605
2018-01-29:2018-02-02,263.74105834960943,253.99343035298008
2018-02-05:2018-02-09,250.3840484619141,255.46399516444052
2018-02-12:2018-02-16,261.50048828125,260.5819170551915
2018-02-19:2018-02-23,263.032470703125,263.55478495936245
2018-02-26:2018-03-02,257.64181518554693,261.1872932680191
